"Run 1: Time (s)","Run 1: Illumination (lux)","Run 2: Time (s)","Run 2: Illumination (lux)","Run 3: Time (s)","Run 3: Illumination (lux)","Run 4: Time (s)","Run 4: Illumination (lux)","Run 5: Time (s)","Run 5: Illumination (lux)","Run 6: Time (s)","Run 6: Illumination (lux)"
0,5378.50799561,0,5376.57165527,0,5378.50799561,0,5380.57342529,0,5222.69714355,0,4590.80474854
0.016666,5384.70428467,0.016666,5384.70428467,0.016666,5386.76971436,0.016666,5386.76971436,0.016666,5218.56628418,0.016666,4584.60845947
0.033332,5386.76971436,0.033332,5384.70428467,0.033332,5384.70428467,0.033332,5384.70428467,0.033332,5224.76257324,0.033332,4594.93560791
0.049998,5384.70428467,0.049998,5384.70428467,0.049998,5384.70428467,0.049998,5384.70428467,0.049998,5232.89520264,0.049998,4611.32995605
0.066664,5384.70428467,0.066664,5384.70428467,0.066664,5384.70428467,0.066664,5384.70428467,0.066664,5232.89520264,0.066664,4597.0010376
0.08333,5384.70428467,0.08333,5384.70428467,0.08333,5384.70428467,0.08333,5384.70428467,0.08333,5232.89520264,0.08333,4588.73931885
0.099996,5384.70428467,0.099996,5384.70428467,0.099996,5382.63885498,0.099996,5384.70428467,0.099996,5247.22412109,0.099996,4611.32995605
0.116662,5384.70428467,0.116662,5384.70428467,0.116662,5384.70428467,0.116662,5384.70428467,0.116662,5232.89520264,0.116662,4615.46081543
0.133328,5384.70428467,0.133328,5384.70428467,0.133328,5384.70428467,0.133328,5384.70428467,0.133328,5237.02606201,0.133328,4603.0682373
0.149994,5386.76971436,0.149994,5384.70428467,0.149994,5384.70428467,0.149994,5384.70428467,0.149994,5243.22235107,0.149994,4613.39538574
0.16666,5384.70428467,0.16666,5384.70428467,0.16666,5384.70428467,0.16666,5384.70428467,0.16666,5241.15692139,0.16666,4646.18408203
0.183326,5386.76971436,0.183326,5384.70428467,0.183326,5384.70428467,0.183326,5384.70428467,0.183326,5241.15692139,0.183326,4623.59344482
0.199992,5384.70428467,0.199992,5384.70428467,0.199992,5384.70428467,0.199992,5384.70428467,0.199992,5241.15692139,0.199992,4623.59344482
0.216658,5384.70428467,0.216658,5384.70428467,0.216658,5384.70428467,0.216658,5386.76971436,0.216658,5245.28778076,0.216658,4638.05145264
0.233324,5384.70428467,0.233324,5384.70428467,0.233324,5384.70428467,0.233324,5384.70428467,0.233324,5237.02606201,0.233324,4652.38037109
0.24999,5384.70428467,0.24999,5384.70428467,0.24999,5384.70428467,0.24999,5384.70428467,0.24999,5224.76257324,0.24999,4629.78973389
0.266656,5384.70428467,0.266656,5384.70428467,0.266656,5384.70428467,0.266656,5384.70428467,0.266656,5237.02606201,0.266656,4621.52801514
0.283322,5384.70428467,0.283322,5384.70428467,0.283322,5384.70428467,0.283322,5384.70428467,0.283322,5232.89520264,0.283322,4613.39538574
0.299988,5384.70428467,0.299988,5384.70428467,0.299988,5384.70428467,0.299988,5384.70428467,0.299988,5224.76257324,0.299988,4599.06646729
0.316654,5384.70428467,0.316654,5384.70428467,0.316654,5386.76971436,0.316654,5384.70428467,0.316654,5232.89520264,0.316654,4617.52624512
0.33332,5384.70428467,0.33332,5384.70428467,0.33332,5384.70428467,0.33332,5384.70428467,0.33332,5241.15692139,0.33332,4639.98779297
0.349986,5384.70428467,0.349986,5384.70428467,0.349986,5382.63885498,0.349986,5384.70428467,0.349986,5224.76257324,0.349986,4609.26452637
0.366652,5386.76971436,0.366652,5386.76971436,0.366652,5384.70428467,0.366652,5384.70428467,0.366652,5232.89520264,0.366652,4613.39538574
0.383318,5384.70428467,0.383318,5384.70428467,0.383318,5384.70428467,0.383318,5384.70428467,0.383318,5261.68212891,0.383318,4623.59344482
0.399984,5384.70428467,0.399984,5384.70428467,0.399984,5384.70428467,0.399984,5384.70428467,0.399984,5234.96063232,0.399984,4625.65887451
0.41665,5384.70428467,0.41665,5384.70428467,0.41665,5386.76971436,0.41665,5384.70428467,0.41665,5241.15692139,0.41665,4621.52801514
0.433316,5384.70428467,0.433316,5384.70428467,0.433316,5386.76971436,0.433316,5384.70428467,0.433316,5257.55126953,0.433316,4642.05322266
0.449982,5384.70428467,0.449982,5384.70428467,0.449982,5384.70428467,0.449982,5384.70428467,0.449982,5259.61669922,0.449982,4644.11865234
0.466648,5384.70428467,0.466648,5384.70428467,0.466648,5384.70428467,0.466648,5386.76971436,0.466648,5241.15692139,0.466648,4631.85516357
0.483314,5384.70428467,0.483314,5384.70428467,0.483314,5384.70428467,0.483314,5384.70428467,0.483314,5265.68389893,0.483314,4623.59344482
0.49998,5384.70428467,0.49998,5384.70428467,0.49998,5384.70428467,0.49998,5384.70428467,0.49998,5263.74755859,0.49998,4631.85516357
0.516646,5384.70428467,0.516646,5384.70428467,0.516646,5384.70428467,0.516646,5384.70428467,0.516646,5249.28955078,0.516646,4639.98779297
0.533312,5386.76971436,0.533312,5384.70428467,0.533312,5386.76971436,0.533312,5384.70428467,0.533312,5259.61669922,0.533312,4627.7243042
0.549978,5384.70428467,0.549978,5384.70428467,0.549978,5384.70428467,0.549978,5384.70428467,0.549978,5280.14190674,0.549978,4623.59344482
0.566644,5384.70428467,0.566644,5386.76971436,0.566644,5384.70428467,0.566644,5384.70428467,0.566644,5249.28955078,0.566644,4609.26452637
0.58331,5384.70428467,0.58331,5384.70428467,0.58331,5386.76971436,0.58331,5386.76971436,0.58331,5259.61669922,0.58331,4603.0682373
0.599976,5386.76971436,0.599976,5384.70428467,0.599976,5384.70428467,0.599976,5384.70428467,0.599976,5280.14190674,0.599976,4605.13366699
0.616642,5384.70428467,0.616642,5384.70428467,0.616642,5386.76971436,0.616642,5384.70428467,0.616642,5263.74755859,0.616642,4601.13189697
0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5384.70428467,0.633308,5257.55126953,0.633308,4588.73931885
0.649974,5384.70428467,0.649974,5386.76971436,0.649974,5384.70428467,0.649974,5384.70428467,0.649974,5259.61669922,0.649974,4590.80474854
0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5384.70428467,0.66664,5253.42041016,0.66664,4590.80474854
0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5384.70428467,0.683306,5247.22412109,0.683306,4580.60668945
0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5384.70428467,0.699972,5241.15692139,0.699972,4558.01605225
0.716638,5384.70428467,0.716638,5384.70428467,0.716638,5386.76971436,0.716638,5384.70428467,0.716638,5249.28955078,0.716638,4597.0010376
0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5384.70428467,0.733304,5239.0914917,0.733304,4601.13189697
0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5384.70428467,0.74997,5239.0914917,0.74997,4580.60668945
